generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
8,0.561081066158589,0.788149994520613,0.9999999986029496,0.8916412805488588,0.9999999986029496,0.8916412805488588,StrategySubXD,StrategySubXD,8,8,(((((((((((5)*(x))*((x)*(x)))*(x))+(x))*(x))*(x))*(x))-(x))*(x))*(x)),(((((((((((x)+(6))-((4)+((5)+(7))))*(((x)*(x))-((x)*((x)+((4)-(6))))))-(x))+(x))-(x))/(x))/(x))/(x))/(x)),5*x*x*x,1
9,0.7703384822221221,0.8888555918355459,0.9999999986029496,0.9535342959134201,0.9999999986029496,0.9535342959134201,StrategySkipD,StrategyReplaceBranchR,9,9,(((((((((((5)*(x))*((x)*(x)))*(x))+(x))*(x))*(x))*(x))-(x))*(x))*(x)),((((((((5)*((x)*(x)))*((x)+((x)*(x))))+(((4)+(2))+((0)*((x)*((x)*(x))))))+(x))+(x))-(x))/(x)),5*x*x*x,1
10,0.8732338192393495,0.9401377959475559,0.9999999999749606,0.9980327452016143,0.9999999999749606,0.9980327452016143,StrategyAddXD,StrategyMutateTerminalR,10,10,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))-(x))+(x))*(x))*(x)),((((((((0)+((x)*((0)-(8))))*(((5)*((6)-(8)))*((x)*(x))))*(((x)*(x))-((x)+((x)*((x)*(x))))))/(x))/(x))/(x))/(x)),5*x*x*x,1
11,0.962117974083159,0.9755032411382113,0.9999999999749606,0.9999597849222986,0.9999999999749606,0.9999597849222986,StrategySubXD,StrategyDivXD,11,11,(((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))-(x))*(x))*(x)),((((((8)+(2))*((x)*(9)))/(x))/(x))/(x)),5*x*x*x,1
12,0.9926725665195947,0.9902566072418925,0.9999999999995498,0.999999983886228,0.9999999999995498,0.999999983886228,StrategySkipD,StrategyMutateTerminalR,12,12,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))-(x))*(x))*(x))*(x)),((((((5)*(((1)*(6))*(x)))*(((x)*(x))*((x)*(2))))*((7)*(6)))/(x))/(x)),5*x*x*x,1
13,0.9957505590577422,0.9970975154008032,0.9999999999995498,0.9999999967792174,0.9999999999995498,0.9999999967792174,StrategySubXD,StrategySubXD,13,13,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))-(x))*(x))*(x))*(x)),((((((((((5)*((x)*(x)))*((x)*((1)*(2))))*((0)+(4)))-(x))+(x))-(x))/(x))/(x))/(x)),5*x*x*x,1
14,0.9999998792589598,0.9985988183704767,0.9999999999995498,0.9999999999687712,0.9999999999995498,0.9999999999687712,StrategySubXD,StrategyDivXD,14,14,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))-(x))*(x))*(x))*(x)),(((((((5)*((x)*(x)))+((x)+(1)))*((3)+(0)))/(x))/(x))/(x)),5*x*x*x,1
15,0.9988149999444985,0.9987995841740559,0.9999999999995498,0.9999999999985838,0.9999999999995498,0.9999999999985838,StrategySkipD,StrategyMutateNonTerminalR,15,15,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))-(x))*(x))*(x))*(x)),(((((1)-(8))/(x))/(x))/(x)),5*x*x*x,1
16,0.9994074999955429,0.9992000160074419,0.9999999999999569,0.999999999999889,0.9999999999999569,0.999999999999889,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,16,16,(((((((((((((7)+(x))*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((9)*(6))/(x)),5*x*x*x,1
17,0.9998024999995272,0.9993998957875153,0.9999999999999903,0.9999999999999873,0.9999999999999903,0.9999999999999873,StrategySkipD,StrategyDivXD,17,17,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((2)+(5))*(((x)*(x))-((x)*((x)*((x)*(x))))))/(x))/(x))/(x))/(x)),5*x*x*x,1
